,Company,Site URL,Site Map
389,Canadian Dehua International Mines Group Inc,http://cfcanada.fticonsulting.com/CanadianDehuaInternational/,http://cfcanada.fticonsulting.com/CanadianDehuaInternational/sitemap.xml
390,Canadian Gold Corp,https://canadiangoldcorp.com/,https://canadiangoldcorp.com/sitemap.xml
391,Canadian Gold Miner Corp,http://www.canadiangoldminer.com/,http://www.canadiangoldminer.com/sitemap.xml
392,Canadian Manganese Company Inc,https://canadianmanganese.com/,https://canadianmanganese.com/sitemap.xml
393,Canadian Palladium Resources Inc,https://canadianpalladium.com/,https://canadianpalladium.com/sitemap.xml
394,Canadian Shield Resources Inc,http://www.24hgold.com/english/infocompany.aspx?id=3411118D5010&market=CSP.V,http://www.24hgold.com/english/infocompany.aspx?id=3411118D5010&market=CSP.Vsitemap.xml
395,Canadian Silver Hunter Inc,https://www.canadiansilverhunter.ca/,https://www.canadiansilverhunter.ca/sitemap.xml
396,Canaf Investments Inc,https://www.canafinvestments.com/,https://www.canafinvestments.com/sitemap.xml
397,Canagold Resources Ltd,https://www.canagoldresources.com/,https://www.canagoldresources.com/sitemap.xml
398,CanAlaska Uranium Ltd,https://www.canalaska.com/,https://www.canalaska.com/sitemap.xml
399,CanAm Coal Corp,http://infoventure.tsx.com/TSXVenture/TSXVentureHttpController?GetPage=CompanySummary&PO_ID=1023545,http://infoventure.tsx.com/TSXVenture/TSXVentureHttpController?GetPage=CompanySummary&PO_ID=1023545sitemap.xml
400,Canamara Energy Corporation,https://thecse.com/en/listings/mining/canamera-energy-metals-corp,https://thecse.com/en/listings/mining/canamera-energy-metals-corpsitemap.xml
401,Canamex Gold Corp,https://canamexgold.com/,https://canamexgold.com/sitemap.xml
402,Canasia Power Corp,https://canasiacorp.com/,https://canasiacorp.com/sitemap.xml
403,Cancor Mines Inc,https://thecse.com/en/listings/mining/cancor-mines-inc,https://thecse.com/en/listings/mining/cancor-mines-incsitemap.xml
404,Candelaria Mining Corp,https://www.candelariamining.com/,https://www.candelariamining.com/sitemap.xml
405,Candorado Operating Company Ltd,http://www.24hgold.com/english/company-gold-silver-candorado-operating-company-limited.aspx?id=699842D5010&market=CDOOF,http://www.24hgold.com/english/company-gold-silver-candorado-operating-company-limited.aspx?id=699842D5010&market=CDOOFsitemap.xml
406,CANEX Metals Inc,https://www.canexmetals.ca/,https://www.canexmetals.ca/sitemap.xml
407,CaNickel Mining Ltd,https://www.canickel.com/,https://www.canickel.com/sitemap.xml
408,Cannex Capital Holdings Inc,https://www.cannex.com/,https://www.cannex.com/sitemap.xml
409,Cannon Point Resources Ltd,https://www.northernminer.com/company/052939124/,https://www.northernminer.com/company/052939124/sitemap.xml
410,Canoe Mining Ventures Corp,http://www.canoemining.ca/,http://www.canoemining.ca/sitemap.xml
411,CanPacific Potash Inc,https://canpacificpotash.com/,https://canpacificpotash.com/sitemap.xml
412,Canstar Resources Inc,https://www.canstarresources.com/,https://www.canstarresources.com/sitemap.xml
413,Canterra Minerals Corp,https://canterraminerals.com/,https://canterraminerals.com/sitemap.xml
414,Cantex Mine Development Corp,https://cantex.ca/,https://cantex.ca/sitemap.xml
415,Capella Minerals Ltd,https://capellaminerals.com/,https://capellaminerals.com/sitemap.xml
416,Capella Resources Ltd,https://capellaminerals.com/,https://capellaminerals.com/sitemap.xml
417,Capital Power Corp,https://www.capitalpower.com/,https://www.capitalpower.com/sitemap.xml
418,Capitan Silver Corp,https://www.capitansilver.com/,https://www.capitansilver.com/sitemap.xml
419,Caprock Mining Corp,https://www.caprockmining.com/,https://www.caprockmining.com/sitemap.xml
420,Capstone Copper Corp,https://capstonecopper.com/,https://capstonecopper.com/sitemap.xml
421,Caracara Silver Inc,https://mininglifeonline.net/company/caracara-silver-inc/8746,https://mininglifeonline.net/company/caracara-silver-inc/8746sitemap.xml
422,Carbon Streaming Corp,https://www.carbonstreaming.com/,https://www.carbonstreaming.com/sitemap.xml
423,Cardero Resources Corp,https://www.azomining.com/Suppliers.aspx?SupplierID=594,https://www.azomining.com/Suppliers.aspx?SupplierID=594sitemap.xml
424,Cariboo Rose Resources Ltd,http://cariboorose.com/,http://cariboorose.com/sitemap.xml
425,Carlin Gold Corp,https://www.carlingold.com/,https://www.carlingold.com/sitemap.xml
426,Carlisle Goldfields Ltd,https://www.crunchbase.com/organization/carlisle-goldfields-ltd,https://www.crunchbase.com/organization/carlisle-goldfields-ltdsitemap.xml
427,Carlyle Commodities Corp,https://carlylecommodities.com/,https://carlylecommodities.com/sitemap.xml
428,Carmanah Minerals Corp,https://carmanahcorp.ca/,https://carmanahcorp.ca/sitemap.xml
429,Carmix Canada Ltd,https://mininglifeonline.net/company/carmix-canada-ltd/9181,https://mininglifeonline.net/company/carmix-canada-ltd/9181sitemap.xml
430,Carrie Arran Resources Inc,https://www.newsfilecorp.com/release/162350/Carrie-Arran-Resources-Inc.-Dorset-Resources-Ltd.-and-Bemaba-Resources-Ltd.-Announce-Closing-of-Plan-of-Arrangement,https://www.newsfilecorp.com/release/162350/Carrie-Arran-Resources-Inc.-Dorset-Resources-Ltd.-and-Bemaba-Resources-Ltd.-Announce-Closing-of-Plan-of-Arrangementsitemap.xml
431,Cartier Resources Inc,https://ressourcescartier.com/,https://ressourcescartier.com/sitemap.xml
432,Cartier Silver Corp,https://thecse.com/en/listings/mining/cartier-silver-corporation,https://thecse.com/en/listings/mining/cartier-silver-corporationsitemap.xml
433,Cascada Silver Corp,https://www.cascadasilver.com/,https://www.cascadasilver.com/sitemap.xml
434,Cascade Copper Corp,https://www.cascadecopper.com/,https://www.cascadecopper.com/sitemap.xml
